ID,type,description
11111111-1111-1111-1111-111111111111,Sword,Sharp melee weapons for Knights and Swordsmen
22222222-2222-2222-2222-222222222222,Dagger,Fast attack weapons for Assassins and Thieves
33333333-3333-3333-3333-333333333333,Staff,Magic weapons used by Wizards and Priests
44444444-4444-4444-4444-444444444444,Bow,Ranged weapons for Archers and Hunters
55555555-5555-5555-5555-555555555555,Spear,Long reach weapons for Crusaders and Knights
66666666-6666-6666-6666-666666666666,Axe,Heavy weapons with high damage output
77777777-7777-7777-7777-777777777777,Mace,Holy and blunt weapons for support classes
88888888-8888-8888-8888-888888888888,Armor,Protective equipment for all classes
99999999-9999-9999-9999-999999999999,Shield,Defensive off-hand equipment
aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,Accessory,Special items with bonus stats
