ID,equipmentType_ID,name,description,buyingPrice,sellingPrice,stock
e1000001-0000-0000-0000-000000000001,11111111-1111-1111-1111-111111111111,Blade[4],Basic slotted sword for beginners,1200,600,50
e1000002-0000-0000-0000-000000000002,11111111-1111-1111-1111-111111111111,Haedonggum,Popular crit sword with ASPD bonus,850000,425000,8
e1000003-0000-0000-0000-000000000003,22222222-2222-2222-2222-222222222222,Jur[3],Classic assassin katar weapon,500000,250000,12
e1000004-0000-0000-0000-000000000004,22222222-2222-2222-2222-222222222222,Main Gauche[4],Highly customizable dagger,75000,37500,35
e1000005-0000-0000-0000-000000000005,33333333-3333-3333-3333-333333333333,Arc Wand,Wizard weapon with MATK bonus,300000,150000,10
e1000006-0000-0000-0000-000000000006,33333333-3333-3333-3333-333333333333,Survivor's Rod,High-end staff with INT bonus,2200000,1100000,3
e1000007-0000-0000-0000-000000000007,44444444-4444-4444-4444-444444444444,Composite Bow[4],Hunter favorite with slots,180000,90000,20
e1000008-0000-0000-0000-000000000008,44444444-4444-4444-4444-444444444444,Rudra Bow,Elemental bow with high damage,3500000,1750000,2
e1000009-0000-0000-0000-000000000009,55555555-5555-5555-5555-555555555555,Pike[4],Versatile spear weapon,250000,125000,18
e1000010-0000-0000-0000-000000000010,55555555-5555-5555-5555-555555555555,Gungnir,Legendary spear blessed by Odin,12000000,6000000,1
e1000011-0000-0000-0000-000000000011,66666666-6666-6666-6666-666666666666,Orcish Axe,Strong axe for blacksmith builds,950000,475000,6
e1000012-0000-0000-0000-000000000012,77777777-7777-7777-7777-777777777777,Holy Avenger,Mace infused with holy power,4200000,2100000,4
e1000013-0000-0000-0000-000000000013,88888888-8888-8888-8888-888888888888,Mage Coat,Armor with MATK enhancement,125000,62500,14
e1000014-0000-0000-0000-000000000014,88888888-8888-8888-8888-888888888888,Full Plate,Heavy armor with high DEF,900000,450000,7
e1000015-0000-0000-0000-000000000015,99999999-9999-9999-9999-999999999999,Valkyrja's Shield,Premium shield with resistances,6500000,3250000,2
e1000016-0000-0000-0000-000000000016,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,Brooch[1],Accessory with DEX bonus,350000,175000,11
e1000017-0000-0000-0000-000000000017,aaaaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa,Ring of Resonance,Rare accessory with random effects,4800000,2400000,1
